timeStamp,bestBid,bestAsk,bidSize,askSize
41600,998724,998725,462,64
41600,998724,998725,462,64
41600,998724,998725,462,64
41600,998724,998725,416,64
41600,998724,998725,416,64
41600,998724,998725,416,64
41600,998724,998725,372,64
41600,998724,998725,372,64
41600,998724,998725,372,64
41600,998724,998725,323,64
41600,998724,998725,323,64
41600,998724,998725,323,64
41600,998724,998725,292,64
41650,998724,998725,292,64
41650,998724,998725,292,64
41650,998724,998725,292,64
41650,998724,998725,292,64
41650,998724,998725,292,64
41650,998724,998725,292,64
41650,998724,998725,292,64
41700,998724,998725,292,64
41700,998724,998725,292,64
41700,998724,998725,292,64
41700,998724,998725,292,64
41700,998724,998725,257,64
41700,998724,998725,226,64
41700,998724,998725,226,64
41700,998724,998725,226,64
41750,998724,998725,196,64
41750,998724,998725,196,64
41750,998724,998725,196,64
41750,998724,998725,196,97
41750,998724,998725,196,97
41750,998724,998725,196,97
41751,998724,998725,196,64
41752,998724,998725,196,64
41758,998724,998725,196,64
41761,998724,998725,196,64
41764,998724,998725,196,64
41766,998724,998725,196,64
41767,998724,998725,196,64
41768,998724,998725,196,64
41769,998724,998725,196,64
41773,998724,998725,196,64
41775,998724,998725,196,64
41777,998724,998725,196,64
41778,998724,998725,196,64
41779,998724,998725,196,64
41781,998724,998725,196,64
41783,998724,998725,196,64
41785,998724,998725,196,64
41786,998724,998725,196,64
41787,998724,998725,196,64
41791,998724,998725,196,64
41796,998724,998725,196,64
41800,998724,998725,180,64
41800,998724,998725,180,64
41800,998724,998725,180,64
41800,998724,998725,180,64
41800,998724,998725,148,64
41800,998724,998725,148,64
41800,998724,998725,148,64
41800,998724,998725,148,64
41800,998724,998725,148,64
41800,998724,998725,118,64
41800,998724,998725,118,64
41800,998724,998725,118,64
41800,998724,998725,118,64
41800,998724,998725,118,64
41802,998724,998725,118,64
41804,998724,998725,118,64
41815,998724,998725,118,64
41817,998724,998725,118,64
41827,998724,998725,118,64
41850,998724,998725,99,64
41850,998724,998725,99,64
41850,998724,998725,99,64
41850,998724,998725,99,64
41850,998724,998725,99,64
41850,998724,998725,99,64
41900,998724,998725,99,64
41900,998724,998725,99,64
41900,998724,998725,99,64
41900,998724,998725,99,64
41900,998724,998725,99,64
41913,998724,998725,99,64
41950,998724,998725,53,64
41950,998724,998725,53,64
41950,998724,998725,53,64
41950,998724,998725,53,64
42000,998724,998725,13,64
42000,998724,998725,13,64
42000,998724,998725,13,64
42000,998724,998725,13,64
42000,998724,998725,13,64
42000,998724,998725,1,64
42000,998723,998725,879,64
42000,998723,998725,879,64
42000,998723,998725,858,64
42000,998723,998725,858,64
42000,998723,998725,876,64
42000,998723,998725,876,64
42000,998723,998725,876,64
42000,998723,998725,876,64
42000,998723,998725,876,70
42000,998723,998725,876,70
42000,998723,998725,876,70
42000,998723,998725,876,70
42000,998723,998725,876,70
42000,998723,998725,876,70
42000,998723,998725,854,70
42000,998723,998725,837,70
42000,998723,998725,837,70
42001,998723,998725,837,70
42002,998723,998725,837,70
42003,998723,998725,837,70
42004,998723,998725,837,70
42005,998723,998725,837,70
42006,998723,998725,837,70
42007,998723,998725,837,70
42008,998723,998725,837,70
42009,998723,998725,837,70
42013,998723,998725,837,70
42014,998723,998725,837,70
42019,998723,998725,837,70
42020,998723,998725,837,70
42026,998723,998725,837,70
42027,998723,998725,837,70
42029,998723,998725,837,70
42030,998723,998725,837,70
42031,998723,998725,837,70
42032,998723,998725,837,70
42035,998723,998725,819,70
42037,998723,998725,819,70
42039,998723,998725,819,70
42040,998723,998725,819,70
42041,998723,998725,819,70
42045,998723,998725,819,70
42050,998723,998725,793,70
42050,998723,998725,793,70
42050,998723,998725,793,70
42050,998723,998725,793,70
42050,998723,998725,793,70
42050,998723,998725,793,70
42050,998723,998725,793,70
42051,998723,998725,793,70
42054,998723,998725,793,70
42058,998723,998725,793,70
42059,998723,998725,793,70
42062,998723,998725,793,70
42065,998723,998725,793,70
42066,998723,998725,793,70
42067,998723,998725,793,70
42070,998723,998725,793,70
42086,998723,998725,793,70
42092,998723,998725,793,70
42098,998723,998725,793,70
42100,998723,998725,793,70
42100,998723,998725,793,70
42100,998723,998725,793,70
42100,998723,998725,793,70
42100,998723,998725,793,70
42100,998723,998725,768,70
42102,998723,998725,768,70
42108,998723,998725,768,70
42116,998723,998725,768,70
42117,998723,998725,768,70
42149,998723,998725,768,70
42150,998723,998725,768,70
42150,998723,998725,768,70
42150,998723,998725,766,70
42150,998723,998725,762,70
42150,998723,998725,762,70
42200,998723,998725,762,70
42200,998723,998725,720,70
42200,998723,998725,720,70
42200,998723,998725,720,70
42200,998723,998725,720,70
42200,998723,998725,720,70
42200,998723,998725,720,70
42200,998723,998725,704,70
42200,998723,998725,704,70
42250,998723,998724,704,22
42250,998723,998724,704,22
42250,998723,998724,686,22
42250,998723,998724,686,22
42250,998723,998724,686,22
42250,998723,998724,686,22
42250,998723,998724,666,22
42251,998723,998724,666,22
42252,998723,998724,666,22
42255,998723,998724,666,22
42256,998723,998724,666,22
42258,998723,998724,666,22
42260,998723,998724,666,22
42261,998723,998724,666,22
42263,998723,998724,666,22
42265,998723,998724,666,22
42267,998723,998724,666,22
42274,998723,998724,666,22
42275,998723,998724,666,22
42276,998723,998724,666,22
42281,998723,998724,666,22
42283,998723,998724,666,22
42284,998723,998724,666,22
42285,998723,998724,666,22
42293,998723,998724,666,22
42299,998723,998724,666,22
42300,998723,998724,666,22
42300,998723,998724,658,22
42300,998723,998724,658,22
42300,998723,998724,658,22
42300,998723,998724,658,22
42300,998723,998724,658,22
42300,998723,998724,658,31
42300,998723,998724,658,31
42300,998723,998724,658,31
42300,998723,998724,694,31
42303,998723,998724,694,31
42304,998723,998724,694,31
